Genera	AM-F10-T2-RITA	DA-AD-1-RITA	DA-AD-2-RITA	DA-AD-3-RITA	DA-AD-4-RITA	ES-AD-1-RITA	ES-AD-2-RITA	ES-AD-3-RITA	ES-AD-4-RITA	FR-AD-1-RITA	FR-AD-2-RITA	FR-AD-3-RITA	FR-AD-4-RITA	FR-AD-5-RITA	FR-AD-6-RITA	FR-AD-7-RITA	FR-AD-8-RITA	IT-AD-1-RITA	IT-AD-2-RITA	IT-AD-3-RITA	IT-AD-4-RITA	IT-AD-5-RITA	IT-AD-6-RITA	JP-AD-1-RITA	JP-AD-2-RITA	JP-AD-3-RITA	JP-AD-4-RITA	JP-AD-5-RITA	JP-AD-6-RITA	JP-AD-7-RITA	JP-AD-8-RITA	JP-AD-9-RITA
Porphyromonas	2.07E-05	0.000483944	0.000373958	0.000433103	0.000677285	0.000621321	0.000455804	0.000426491	0.000565901	0.000207621	0.000625782	0.000371282	0.000357672	0.000346928	0.000489861	0.000273602	0.000248743	0.000154883	0.000320044	0.000351295	0.000376464	0.000533225	0.00076701	0.000256519	0.000162139	0.000276486	0.000407586	0.000351874	0.000872225	0.00030846	0.000338796	0.000110878
Propionibacterium	4.59E-06	0	4.45E-05	2.60E-05	1.77E-05	1.79E-05	1.31E-05	4.22E-06	0.000143652	0.000167694	0.000105766	0	0	1.54E-05	2.53E-05	3.42E-05	2.67E-05	0.000137673	6.92E-05	8.57E-06	1.71E-05	5.92E-05	1.72E-05	0	3.74E-05	1.26E-05	0.000114634	0	0	0	0.000100384	0
Prosthecochloris	0	4.21E-06	0	0	4.43E-06	8.94E-06	1.75E-05	0	4.35E-06	0	0	0	8.32E-06	0	0	0	8.88E-06	0	0	0	0	0	0	0	1.25E-05	0	0	0	0	0	0	0
Proteus	0	4.21E-06	0	8.66E-06	1.77E-05	4.47E-06	4.38E-06	4.22E-06	1.74E-05	7.99E-06	0	8.63E-06	0	0	0	8.55E-06	8.88E-06	0	1.73E-05	0	0	0	0	1.28E-05	2.49E-05	1.26E-05	2.55E-05	1.26E-05	0	0	0	3.70E-05
Providencia	4.59E-06	1.26E-05	4.45E-06	2.17E-05	8.85E-06	8.94E-06	8.77E-06	1.27E-05	0	7.99E-06	0	1.73E-05	1.66E-05	7.71E-06	5.07E-05	8.55E-06	0	1.72E-05	0.000216246	6.00E-05	8.56E-06	2.54E-05	3.45E-05	1.28E-05	4.99E-05	2.51E-05	3.82E-05	3.77E-05	2.53E-05	0	0	0
Pseudomonas	2.30E-05	0.000105205	4.90E-05	8.23E-05	4.87E-05	4.47E-05	1.75E-05	3.80E-05	4.35E-05	7.19E-05	4.41E-05	2.59E-05	3.33E-05	6.17E-05	6.76E-05	3.42E-05	8.00E-05	2.58E-05	0.000129748	7.71E-05	8.56E-05	4.23E-05	0.000120653	7.70E-05	1.25E-05	0.000138243	0	8.80E-05	1.26E-05	0.000120702	7.53E-05	0.000147838
Pyramidobacter	4.36E-05	0.000159912	0.00023595	0.000415779	0.000194775	4.92E-05	0.000113951	0.000114013	0.000187183	0.000223592	0.000290857	6.04E-05	0.000133087	0.000215866	0.000261822	0.000128251	0.000204325	0.003140676	0.000302745	7.71E-05	0.000248124	0.001057986	0.000112035	0.000141085	0.000199556	0.000163378	0.000178319	0.000188504	0.00013905	0.000120702	0.000163124	0.000135518
Ralstonia	4.59E-06	1.26E-05	1.34E-05	2.17E-05	1.33E-05	4.47E-06	1.75E-05	1.27E-05	0	1.60E-05	8.81E-06	2.59E-05	0	0	3.38E-05	0	8.88E-06	8.60E-06	0	6.00E-05	2.57E-05	0	1.72E-05	0	0	1.26E-05	1.27E-05	7.54E-05	0	4.02E-05	2.51E-05	3.70E-05
Rhizobium	2.30E-05	2.10E-05	1.34E-05	8.66E-06	2.21E-05	8.94E-06	1.31E-05	1.69E-05	8.71E-06	7.99E-06	1.76E-05	0	8.32E-06	1.54E-05	3.38E-05	8.55E-06	4.44E-05	1.72E-05	8.65E-06	8.57E-06	8.56E-06	1.69E-05	0	2.57E-05	1.25E-05	2.51E-05	0	1.26E-05	0	0	0	0
Rhodococcus	1.61E-05	2.95E-05	3.56E-05	4.76E-05	5.75E-05	8.94E-06	1.31E-05	4.22E-06	3.05E-05	2.40E-05	2.64E-05	0	2.50E-05	6.17E-05	2.53E-05	1.71E-05	3.55E-05	4.30E-05	1.73E-05	0.000145659	8.56E-06	5.08E-05	3.45E-05	0	2.49E-05	0	0	6.28E-05	2.53E-05	0	2.51E-05	0
Rhodospirillum	0	5.05E-05	4.45E-06	0	0.000172641	0	0.000113951	4.22E-05	3.48E-05	2.40E-05	4.41E-05	1.73E-05	2.50E-05	0	8.45E-06	1.71E-05	1.78E-05	0	0	0	1.71E-05	3.39E-05	8.62E-06	0	0	2.51E-05	0	1.26E-05	0	0	0	0
Rickettsia	0	3.79E-05	4.45E-06	1.30E-05	1.77E-05	0	2.19E-05	4.22E-06	2.18E-05	1.60E-05	8.81E-06	8.63E-06	4.16E-05	4.63E-05	0	0	1.78E-05	0	0	2.57E-05	0	1.69E-05	0	0	3.74E-05	2.51E-05	3.82E-05	0	2.53E-05	0	0	2.46E-05
